IDX,RA,DEC,PERIOD
75,66.899281,15.589249,5.87
76,65.053733,19.233563,5.45
77,66.524417,15.524333,4.83
78,66.941704,11.736450,5.14
80,69.383038,15.146498,6.28
82,66.051658,14.758289,6.77
84,72.640679,15.083504,8.61
86,66.117739,16.886226,7.84
87,67.200967,17.285537,7.38
90,61.566899,15.698168,7.47
93,68.646869,15.504688,8.93
95,66.602270,16.853365,8.11
96,63.634326,23.575062,8.38
98,66.465249,18.864147,7.96
99,66.666891,16.746966,8.68
100,71.626391,15.472110,7.95
101,64.411969,16.947911,5.52
103,64.783078,17.524822,8.96
104,68.493652,15.163703,8.65
107,67.154802,19.740782,11.48
108,64.741269,19.906790,9.39
109,68.247701,15.818970,9.80
110,67.645290,15.733970,8.73
114,65.842782,21.379190,-99.00
115,53.208231,23.692283,9.39
117,68.208795,16.005812,9.36
118,67.381418,17.893263,9.55
120,66.447877,18.017359,8.46
121,58.776714,16.998537,9.82
122,75.781742,13.730714,8.96
124,72.175307,21.101102,9.92
125,67.490262,16.672909,9.39
126,65.884447,14.670522,10.01
127,64.139216,21.907561,10.26
129,69.021920,15.684000,9.47
130,61.414984,17.937778,9.10
131,54.395355,21.343241,11.17
132,62.983892,23.636460,2.31
133,65.844954,19.658756,10.02
134,62.150870,23.768610,9.39
136,66.700800,10.871109,10.40
137,57.603705,17.246563,11.59
138,70.105891,16.513734,-99.00
139,66.945728,14.417797,10.28
140,72.303881,24.802969,7.07
141,67.904325,17.709853,-99.00
142,64.579998,16.088389,12.64
143,71.705813,17.748406,10.46
144,64.278328,22.673420,49.32
147,70.815370,17.069080,10.18
149,61.929685,16.518851,11.60
150,66.070299,18.002995,11.47
152,69.962130,12.728517,11.30
154,60.912353,19.455094,11.60
155,58.755679,12.485611,11.66
156,57.762574,23.903768,12.57
157,73.097844,18.996993,11.34
158,66.855580,14.260640,12.81
159,67.379083,16.244833,11.92
160,66.250750,16.984940,11.77
161,65.855020,15.763187,12.38
163,61.754793,15.335078,14.03
164,66.678121,12.686619,12.61
165,71.923861,26.150432,-99.00
166,71.858909,23.051023,-99.00
167,68.404637,21.150963,13.59
169,72.502920,16.412080,11.98
170,67.211708,16.289000,3.66
171,68.424439,19.014116,12.64
175,64.354750,19.029830,12.84
177,67.968369,15.499541,13.13
179,62.045920,16.873140,13.63
180,70.373620,13.221190,15.42
181,77.830420,7.908890,13.23
182,62.110817,12.191872,12.96
183,68.546420,11.557890,11.59
184,61.356646,19.442231,13.85
185,63.793082,14.398500,13.91
187,72.003670,17.056000,10.77
188,72.760040,14.971250,13.14
189,71.827120,6.453220,14.44
190,67.119920,17.695860,2.44
191,77.790370,15.815970,14.94
192,72.127540,16.388610,15.69
193,68.348960,23.990830,17.55
194,65.996370,16.721580,17.14
195,66.310580,18.973580,10.97
196,70.369790,12.009360,18.00
197,73.099420,10.719420,9.88
198,65.961250,9.205420,5.33
199,70.365870,14.076140,1.28
200,68.362500,13.045440,16.29
201,61.644250,13.549110,16.68
202,58.721670,16.315640,6.04
203,64.367210,14.901080,2.38
204,72.467120,6.109330,17.12
205,55.946120,20.860110,12.32
206,67.641170,14.748080,18.41
207,62.865170,15.992170,1.79
208,68.952120,13.288060,13.36
220,36.410168,37.542758,14.60
233,44.171895,35.376271,22.15
249,48.907713,37.403983,1.29
260,50.631985,28.974745,1.93
268,53.543987,22.072577,1.81
282,56.748137,15.404688,0.86
286,58.170881,25.804443,14.66
287,58.177925,25.207298,14.38
294,58.903898,21.313374,0.73
295,58.988199,18.432290,23.12
300,59.559880,12.628013,0.87
304,59.790565,26.476098,15.26
305,59.809109,22.043849,20.73
307,59.812559,16.664436,1.28
309,59.860866,23.385454,1.32
311,60.064928,19.410157,1.86
312,60.187282,13.906334,2.66
319,61.044841,15.806078,0.30
320,61.053368,18.995712,0.80
327,61.586000,19.027496,0.48
331,62.167401,23.557117,21.02
344,63.197333,22.390832,1.84
347,63.273378,15.247777,1.89
348,63.468163,15.365003,1.85
364,64.105903,14.171442,1.45
370,64.448721,13.661776,8.69
372,64.465098,15.227141,3.65
373,64.481527,14.546253,10.12
376,64.544953,23.284651,1.86
379,64.641018,18.364715,2.34
385,64.874106,21.753884,-99.00
387,65.115101,18.897196,20.31
388,65.122452,21.378702,-99.00
393,65.396211,14.695228,3.64
394,65.409642,20.302831,-99.00
401,65.678592,20.570143,-99.00
405,65.797403,21.058952,-99.00
410,65.986149,18.638928,2.42
411,65.989197,22.181603,-99.00
413,66.030945,22.118870,-99.00
418,66.087259,19.180763,-99.00
420,66.127445,18.986928,-99.00
431,66.354276,17.915343,-99.00
433,66.424310,19.013223,-99.00
434,66.445919,17.544619,2.56
440,66.590443,18.000285,1.05
441,66.698411,21.234921,-99.00
442,66.763132,24.104385,-99.00
446,66.902043,19.445907,-99.00
447,66.919774,16.248711,-99.00
450,66.995682,18.500247,11.13
451,66.996725,18.759082,-99.00
452,67.015537,24.402136,-99.00
453,67.045288,16.470932,-99.00
455,67.250637,16.346330,8.80
456,67.254221,18.673707,-99.00
458,67.295795,26.246756,18.02
459,67.301463,15.273896,-99.00
463,67.412476,22.882726,-99.00
464,67.482249,16.914046,-99.00
465,67.502109,22.375125,-99.00
469,67.659145,22.908023,-99.00
470,67.677511,14.661524,-99.00
471,67.687522,22.630087,-99.00
473,67.732371,24.838174,-99.00
475,67.795856,16.395862,-99.00
484,68.120755,17.904630,-99.00
486,68.157729,19.046707,-99.00
488,68.188876,25.092769,-99.00
494,68.408188,16.762500,-99.00
495,68.428389,18.766443,-99.00
496,68.481082,18.380753,-99.00
497,68.486318,16.869062,-99.00
499,68.634090,15.827556,-99.00
501,68.666401,15.209053,-99.00
502,68.708723,20.394591,-99.00
504,68.763782,24.854039,-99.00
506,68.804896,22.989025,-99.00
508,68.868504,15.399264,-99.00
510,68.966729,19.795842,-99.00
511,69.000366,16.540768,-99.00
512,69.017386,18.888562,-99.00
513,69.128364,19.090891,-99.00
514,69.158446,23.041992,-99.00
515,69.162270,18.615746,-99.00
517,69.225943,24.498910,-99.00
519,69.271547,20.718149,-99.00
522,69.341250,19.354842,-99.00
527,69.543976,15.821511,-99.00
528,69.603941,17.542433,-99.00
529,69.680835,21.737336,-99.00
530,69.728013,19.182218,-99.00
538,70.038395,25.592400,5.61
539,70.052968,19.286096,-99.00
541,70.137556,18.028386,-99.00
545,70.258085,19.909414,-99.00
551,70.578425,17.693971,-99.00
552,70.712218,19.487176,-99.00
553,70.717377,23.339572,-99.00
554,70.743692,20.604842,-99.00
557,70.853146,24.296678,-99.00
559,71.118194,17.853077,-99.00
560,71.146450,17.451193,-99.00
561,71.182332,18.408245,-99.00
562,71.251052,17.272151,-99.00
563,71.331726,13.574288,-99.00
564,71.385686,16.598257,-99.00
568,71.578308,3.636337,13.25
569,71.613086,17.626616,-99.00
574,71.787224,20.882316,-99.00
575,71.790641,24.020036,-99.00
577,71.815720,13.557083,-99.00
578,71.850921,22.663502,-99.00
584,71.982110,25.579765,-99.00
586,72.123938,20.446023,-99.00
589,72.248293,15.604844,-99.00
590,72.293994,13.811453,-99.00
593,72.399430,21.760829,-99.00
594,72.402452,17.033096,-99.00
595,72.491552,27.210213,-99.00
596,72.569473,20.625824,-99.00
600,72.889912,14.286373,-99.00
601,72.954948,17.273721,-99.00
609,73.811882,21.364020,-99.00
610,73.927471,27.477342,-99.00
611,73.944435,21.247301,-99.00
612,73.954436,24.362720,-99.00
619,74.490792,14.451987,-99.00
622,74.592708,19.317143,-99.00
624,74.659007,16.222433,-99.00
630,75.013725,15.914769,-99.00
634,75.316679,16.144668,-99.00
646,76.418241,6.465176,10.41
660,77.787024,17.574066,-99.00
665,78.598514,20.531555,-99.00
732,65.456565,19.485724,0.20
735,66.904588,20.944118,-9999.00
737,62.776743,12.796728,0.90
742,80.284356,19.615442,-9999.00
745,69.242231,23.277376,-9999.00
749,65.434885,20.402927,-9999.00
750,68.806471,20.133708,-9999.00
758,67.818192,15.003366,-9999.00
759,75.162296,24.382807,-9999.00
763,65.441169,20.395722,-9999.00
767,71.687535,24.611184,-9999.00
774,65.199952,15.235827,43.59
